"Latitude","Longitude","Superficie","Volumeobligatoiretotalm","vol_SEPM_O","vol_SEPM_T","vol_OSW_O","vol_OSW_T","vol_HW_O","vol_HW_T,"Prixdevente"
48.923617,-74.82097,270,21090,17400,3690,0,0,0,0,635240
47.137457,-73.755487,425,45960,28800,3890,510,8060,800,3900,813725
47.771267,-72.75739,180,21280,9700,1100,10,3360,1760,5350,311290
47.47485,-72.504179,232,20310,11650,2200,50,10,1800,4600,350775
46.586207,-70.499197,31,3360,2850,210,0,0,100,200,138030
48.491049,-74.840148,196,13600,10200,3400,0,0,0,0,224300
47.171488,-73.148901,356,40710,11900,1350,750,4260,5500,16950,426007.5
47.479057,-73.619673,279,29050,18650,2140,250,950,1810,5250,592196.1
47.259854,-72.414012,59,5340,2850,450,10,30,400,1600,NA
47.470944,-74.011768,210,18230,10800,1100,150,1060,1620,3500,139615
47.486155,-73.370343,232,29010,10450,550,0,9350,2310,6350,340156.1
47.673479,-72.23371,264,21100,12650,1650,0,2500,1300,3000,166139.5
48.118148,-74.609696,324,23400,19050,4100,0,0,250,0,671225
47.394798,-71.548033,156,9240,4000,2390,0,0,400,2450,NA
47.857451,-73.261547,338,46570,30050,3450,200,6060,1610,5200,820411.3
47.864068,-73.246217,212,31660,21300,2300,200,3910,1100,2850,NA
47.853882,-73.273703,126,14910,8750,1150,0,2150,510,2350,NA
48.363075,-74.613747,176,22800,19350,3400,0,0,50,0,627100
48.502519,-74.862185,364,31440,26500,4940,0,0,0,0,885435
48.349475,-74.664487,205,20470,16560,3860,0,0,50,0,544290
47.916105,-73.496183,239,21950,10350,1950,0,1950,1750,5950,112573
47.944782,-73.640331,225,21450,16850,3150,0,100,450,900,350975
47.611639,-73.601717,178,24440,17000,1790,0,2200,1000,2450,564371.5
47.960916,-73.627218,333,23450,18250,2500,0,1100,200,1400,369740
48.587817,-73.557192,365,27250,22200,3700,0,0,1350,0,870602
48.008697,-73.693779,159,11250,8250,1700,0,300,50,950,106272.5
47.993509,-69.848202,327,18700,6200,1750,200,3850,1050,5650,NA
47.630093,-71.251349,93,5240,2670,900,10,70,170,1420,44615
47.191671,-73.178752,111,17060,5500,690,0,4150,1620,5100,236827.5
47.77953,-73.713757,81,9760,6600,2800,0,250,10,100,NA
